bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,wgs84_LNG,wgs84_LAT,gcj02_LNG,gcj02_LAT
12532200,3237600,1,112.5774430873612,28.070694722988996,112.56570306949754,28.067928662391953,112.57102777414323,28.0644144214685
12563200,3260000,1,112.85591779536237,28.2490371357616,112.84388423588484,28.246808033508078,112.84933068866968,28.243321263798595
12469800,3241200,1,112.01690044932012,28.099377139028224,112.00471480501581,28.096993055702136,112.01031408916144,28.093668473064227
12530200,3263800,15,112.55947697716758,28.279261833768647,112.54769786407776,28.27644653155096,112.55306853879532,28.2729498660102
12578600,3237200,9,112.99425684385328,28.067507309990262,112.98210989509651,28.065199452803597,112.98769549967339,28.06182267027396
12629600,3274800,1,113.45239265379071,28.366705512237942,113.43994315996844,28.364146019455806,113.44581331254257,28.360953040042524
12667200,3273200,1,113.79015552543083,28.353990949927134,113.7781214658216,28.351229144464998,113.78366396038643,28.347874820402442
12612800,3302600,1,113.30147732816425,28.587374932537575,113.28924449382083,28.584362590184753,113.29502058180721,28.58112991069316
12574800,3268000,4,112.9601212344854,28.31265799718652,112.94812492824055,28.310200533799712,112.9536177061958,28.306724990187355
12582000,3245400,6,113.02479923118244,28.13283016818066,113.01261882861431,28.129976546875277,113.01832240772762,28.126684353383617
12648800,3250400,1,113.6248673116495,28.172641446139163,113.61298082512597,28.170020398874957,113.61842227195926,28.16650158335041
12579400,3232200,1,113.00144328793073,28.02765658766588,112.9892764460122,28.025246958180727,112.9948853501754,28.021897413825393
12576600,3286200,2,112.97629073365965,28.457252188162872,112.96415271222726,28.45495035742496,112.96970651002295,28.451541103725678
12561800,3233200,1,112.84334151822684,28.035627925859256,112.83137027260125,28.033196869065776,112.83682141160813,28.02974893962687
12582200,3256600,19,113.0265958422018,28.221986644674285,113.01440687883269,28.21910373113257,113.02012412217371,28.2158120452911
12591400,3257000,4,113.10923994909248,28.22516941505866,113.09675761662189,28.22266683321351,113.10263979318394,28.219501153585913
12594200,3261000,3,113.13439250336356,28.25699184345045,113.12200338853866,28.25420990158559,113.12787435332294,28.25102701613812
12583800,3269800,5,113.04096873035671,28.326967396183388,113.02877475369704,28.32388962162554,113.03454917211852,28.320642169046966
12580000,3247400,4,113.00683312098882,28.148756474398926,112.99465620252066,28.14626895931909,113.00029497970786,28.142921523788825
12571800,3253600,2,112.93317206919497,28.198112810792498,112.92133493227954,28.195320009061305,112.9267593239819,28.191796438552576
12594400,3257600,41,113.13618911438292,28.229943390827138,113.12380258034062,28.22712964125075,113.12966929856714,28.22394431526683
12603800,3235600,1,113.22062983229294,28.05475670255606,113.20835945316746,28.052397100464944,113.21406900100766,28.049085227018338
12586600,3259200,11,113.06612128462778,28.242672937836918,113.05381135658456,28.239691375387093,113.05964685417801,28.23649300410796
12576800,3252800,26,112.97808734467903,28.19174554451432,112.9659855115375,28.189489565142832,112.97152403401168,28.186055395229026
12586800,3264600,6,113.06791789564714,28.285623824119977,113.05562837425735,28.2826744999999,113.06147135702098,28.279480640973333
12560000,3264400,5,112.82717201905258,28.28403336254055,112.81522741868338,28.281311263329645,112.82072753989328,28.277878486791302
12614400,3255600,2,113.31585021631916,28.21402929921183,113.30357290860087,28.211304040956186,113.30934517390205,28.208015764301894
12656600,3224800,1,113.69493514140463,27.9686501486146,113.68284467828728,27.966309826319936,113.68836348229023,27.962929910999986
12574400,3270400,9,112.95652801244667,28.331736763349014,112.94453762086727,28.32921704533518,112.95002214795709,28.325735820903393
12552800,3239000,4,112.76249402235553,28.08184991591964,112.75038707665102,28.079422520464565,112.75594182738884,28.076077381822014
12568800,3268600,3,112.90622290390452,28.317428013078842,112.89436302186672,28.31479908525516,112.89977271687698,28.311265047696082
12551000,3277000,1,112.74632452318127,28.38418552199201,112.73416451817602,28.381866713365156,112.73973755184427,28.37852326393609
12484000,3224400,1,112.14445983169486,27.9654596814729,112.13217404685751,27.962974972488013,112.13787697987513,27.959794314487905
12589000,3276400,1,113.08768061686013,28.379418535282355,113.07524429559903,28.376763549956856,113.08112703050435,28.373604338557772
12580000,3235400,6,113.00683312098882,28.05316276915434,112.99468040185754,28.050668663698254,113.0003115246659,28.047331888227646
12578800,3238600,19,112.99605345487265,28.078662837404437,112.98389376761472,28.07633495925587,112.98948682971266,28.072962082342634
12464200,3242200,1,111.96659534077797,28.1073431024828,111.95471492910708,28.104471788433504,111.96016220381291,28.101002849111413
12542400,3292600,1,112.66907024934868,28.508051101607226,112.65718480077027,28.50526585535322,112.66262462948079,28.501844888551183
12651400,3254200,1,113.64822325490121,28.20288800893102,113.63634511347632,28.20004056215014,113.6418106499363,28.196549251808463
12591400,3260600,25,113.10923994909248,28.253810032343242,113.09675994703306,28.25130841848942,113.1026445148137,28.248142967223405
12577400,3258600,23,112.98347717773711,28.23789953756188,112.97131368243357,28.235649604794588,112.97687423273698,28.23222940715867
12575600,3250600,19,112.96730767856285,28.174233586057664,112.95527904432869,28.171881025086893,112.96078169265748,28.168420101750282
12568200,3270600,2,112.90083307084643,28.333326504341194,112.88893441966476,28.330779715424782,112.89434492603745,28.32724849999799
12491200,3236600,2,112.2091378283919,28.062726011336327,112.19716912688943,28.059706379916513,112.20273940831768,28.056397162661206
12607400,3255800,3,113.25296883064148,28.215620816243877,113.24074311787625,28.21302925330996,113.24644390455475,28.209680940380892
12646600,3235200,1,113.60510459043651,28.05156881187279,113.59314598864646,28.049280459159213,113.5985762118727,28.045764965053994
12577000,3248600,18,112.97988395569838,28.158311109433164,112.96777426614322,28.156060245052306,112.97331617649245,28.152632802126465
